param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-548.9543475112484,157.4414931025743
,1,5,-517.8239070160727,157.89093276398214
,1,10,-531.5392061804521,160.46730087201715
,2,2,-478.05037568369227,121.84519720023779
,2,5,-473.5171759717555,119.29092212759296
,2,10,-509.2881946382161,165.2477076688156
,4,2,-541.1468282817905,138.66714682943524
,4,5,-545.0493471117098,131.69843148869379
,4,10,-542.0636940049732,135.63921434952994
10,1,2,-546.9428829267359,157.29288004770368
10,1,5,-508.86347210001304,113.52737519595492
10,1,10,-560.6012053214339,153.7147758301041
10,2,2,-524.6868238029318,165.8659233360391
10,2,5,-517.3566223208727,152.63251885071358
10,2,10,-544.9118595080975,156.04166159360722
10,4,2,-577.4830776909773,125.37194837582628
10,4,5,-578.0897243578817,126.11303744615375
10,4,10,-574.9955851065974,127.05208040619225
20,1,2,-596.6616317359836,152.46063443241587
20,1,5,-531.1342501276882,177.17164971811718
20,1,10,-534.7408706835809,152.90563978098083
20,2,2,-506.30800097552446,170.1208631642816
20,2,5,-512.2216080332989,187.3927200481407
20,2,10,-510.04645393149167,160.47665416683282
20,4,2,-545.598228310703,132.63639943358945
20,4,5,-538.1399548513334,133.2374370798746
20,4,10,-541.7818333079467,139.69499739110748
30,1,2,-531.7940854347189,150.51673078403837
30,1,5,-494.8364725425067,121.65497822807049
30,1,10,-530.1590957382772,161.9064325299417
30,2,2,-507.25876539549006,167.55495654457135
30,2,5,-515.1019169160523,129.9836196848114
30,2,10,-513.3508702997262,159.44812259149265
30,4,2,-538.90325730161,133.30445241110078
30,4,5,-544.7945898408905,135.44361262806473
30,4,10,-539.1386001842959,138.70749160420002
50,1,2,-629.4906075117024,210.56870766113533
50,1,5,-532.5008677764679,184.3773772573913
50,1,10,-530.9596863348631,162.74903108570092
50,2,2,-544.4519482209474,169.34695862259247
50,2,5,-554.8473070030166,186.31826764381768
50,2,10,-516.991022237442,162.05500936766148
50,4,2,-541.1630474325568,138.66974766473666
50,4,5,-546.6498540386383,133.21563625412077
50,4,10,-541.8756562299329,135.41038825691479
