param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-20653.692201130852,10261.965053722197
,1,5,-23167.276551221552,13021.31849401478
,1,10,-21626.755707461438,12427.200547014318
,2,2,-25034.869485649317,15547.556386950782
,2,5,-23061.123897624635,13044.40799931676
,2,10,-21675.440078464962,12379.935536208464
,4,2,-20818.854129471372,10968.169075630783
,4,5,-20646.084352361548,10884.946048821916
,4,10,-20633.943703944584,10615.24887353412
10,1,2,-21840.50253863817,13057.676178724487
10,1,5,-22965.289892832232,12889.806171019176
10,1,10,-21854.553298000497,12304.001107252103
10,2,2,-24751.54095631246,13512.479394958902
10,2,5,-25494.255113095882,14930.262606803211
10,2,10,-21988.924985739817,12220.117055187875
10,4,2,-21238.54422391137,10437.952224130035
10,4,5,-21535.933386270048,10576.143451060267
10,4,10,-20870.76023683388,10399.402574765374
20,1,2,-19416.160849982953,10011.918540520082
20,1,5,-21729.900163103503,12081.970343338438
20,1,10,-20754.98963444286,11986.803488746353
20,2,2,-25559.491189869317,16216.7229811865
20,2,5,-24915.58408957292,15449.39618488639
20,2,10,-21602.75185956175,12583.080406378973
20,4,2,-20324.802754432294,9779.496380457716
20,4,5,-20791.2852951479,10873.615551750934
20,4,10,-20457.420287741763,10334.486550522572
30,1,2,-20032.595268180074,11840.078108107964
30,1,5,-22851.84708324805,11873.576712217226
30,1,10,-21187.25676031568,11923.856578498035
30,2,2,-25651.43023924759,15523.424805326122
30,2,5,-24179.028577603454,16031.65873207708
30,2,10,-21617.15996248878,12438.638922501526
30,4,2,-20474.846618317533,11254.398043761606
30,4,5,-21403.93643913182,10423.148291490232
30,4,10,-20501.534262272107,9675.962429589355
50,1,2,-23932.017831587025,11552.997299236651
50,1,5,-22177.257542207037,12824.628978108034
50,1,10,-20988.30876441433,11713.611632892744
50,2,2,-27171.857668810357,16360.795174194078
50,2,5,-25297.646311208555,15595.777088210145
50,2,10,-21458.059917871356,12710.153248754896
50,4,2,-20575.58424907869,9823.786073833742
50,4,5,-20476.455536468187,10911.879136971624
50,4,10,-20156.004751897235,10584.557836884513
