col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
0,1,2,2,2,3,4,2,0,0,18.57
2,3,2,2,2,3,4,2,0,0,21.69
5,4,2,2,2,3,4,2,0,0,24.64
5,4,2,2,4,5,4,2,0,0,13.62
5,4,2,2,6,7,4,2,0,0,4.38
9,4,2,2,6,7,4,2,0,0,-12.78
8,3,1,1,5,6,3,1,2,0,3.28
8,7,1,1,5,6,3,1,2,0,-2.92
8,7,3,3,5,6,3,1,2,0,9.81
8,7,3,3,5,6,3,3,4,0,17.72
8,7,3,3,5,6,4,5,5,0,17.49
8,7,4,6,5,6,4,5,5,0,19.47
10,9,4,6,5,6,4,5,5,0,17.5
10,9,4,6,5,6,6,6,6,0,24.02
10,9,7,7,5,6,6,6,6,0,40.27
6,5,3,3,1,2,2,2,2,0,30.59
8,7,3,3,1,2,2,2,2,0,22.47
8,7,5,5,1,2,2,2,2,0,25.82
10,9,5,5,1,2,2,2,2,0,16.46
10,9,5,5,4,3,2,2,2,0,27.72
10,9,5,5,4,3,3,4,3,0,27.82
10,9,6,6,6,3,3,4,3,0,22.15
14,9,6,6,6,3,3,4,3,0,19.23
14,9,6,6,6,3,3,5,6,0,17.19
14,9,6,6,6,3,3,7,8,0,1.16
14,9,6,6,6,3,3,7,10,9,-61.88
14,9,6,6,6,6,4,7,10,9,-51.64
14,9,8,8,6,6,4,7,10,9,-49.5
11,11,10,11,7,7,4,6,6,6,-6.43
11,11,10,11,10,8,4,6,6,6,-2.17
10,10,9,10,9,7,6,6,5,0,33.03
10,10,9,10,9,7,7,7,7,0,34.54
10,10,9,10,9,8,9,8,7,0,27.76
6,6,5,6,5,4,5,4,3,0,20.54
6,6,5,6,5,4,5,5,6,0,38.07
6,6,5,6,7,6,5,5,6,0,38.56
6,6,8,7,7,6,5,5,6,0,36.84
8,8,8,7,7,6,5,5,6,0,40.79
8,8,8,7,7,6,6,7,7,0,40.97
8,8,8,7,7,7,8,8,7,0,40.45
10,9,9,7,7,7,8,8,7,0,42.89
11,11,10,7,7,7,8,8,7,0,41.5
11,11,10,8,8,9,8,8,7,0,38.42
11,11,10,8,8,10,10,9,7,0,17.94
11,11,10,8,8,10,11,12,7,0,10.53
11,11,10,9,11,10,11,12,7,0,5.05
12,12,12,9,11,10,11,12,7,0,-6.36
10,10,10,7,9,8,9,10,7,0,12.82
10,10,10,10,10,8,9,10,7,0,19.19
10,10,10,10,10,10,11,10,7,0,26
13,11,10,10,10,10,11,10,7,0,26.16
13,11,10,10,11,13,11,10,7,0,9.3
13,11,10,10,11,13,12,13,7,0,-8.87
11,9,8,8,9,11,10,11,7,0,23.95
7,5,4,4,5,7,6,7,3,0,16.45
7,5,6,6,5,7,6,7,3,0,11.92
7,7,8,6,5,7,6,7,3,0,13.09
9,9,8,6,5,7,6,7,3,0,12.43
9,9,8,6,5,7,8,9,3,0,5.95
9,9,8,6,5,7,8,9,7,0,27.93
5,5,4,2,1,3,4,5,3,0,20.49
5,5,4,2,4,4,4,5,3,0,12.88
5,5,4,5,5,4,4,5,3,0,27.27
5,5,4,5,5,4,4,6,6,0,36.51
5,5,4,5,6,6,5,6,6,0,37.75
1,1,0,1,2,2,1,2,2,0,32.13
3,3,0,1,2,2,1,2,2,0,28.88
3,3,3,2,2,2,1,2,2,0,33.57
3,3,3,2,3,3,3,2,2,0,33.34
3,3,4,4,4,3,3,2,2,0,32.19
3,3,4,4,4,3,4,5,2,0,21.08
3,3,4,4,4,3,4,5,6,0,29.96
3,3,4,4,5,5,5,5,6,0,29.02
6,4,4,4,5,5,5,5,6,0,40.04
6,4,5,6,6,5,5,5,6,0,37.26
2,0,1,2,2,1,1,1,2,0,31.17
3,3,1,2,2,1,1,1,2,0,31.45
7,3,1,2,2,1,1,1,2,0,28.1
7,3,1,2,2,3,2,2,2,0,26.11
7,3,4,3,2,3,2,2,2,0,26.15
7,3,4,3,2,3,4,3,3,0,24.3
7,3,4,3,2,3,4,5,5,0,19.42
7,3,4,3,2,3,4,6,8,0,-5.96
