col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
0,0,0,0,0,0,0,0,0,0,19.2
2,2,4,5,1,2,0,0,0,0,15.52
4,4,4,5,1,2,0,0,0,0,18.82
8,4,4,5,1,2,0,0,0,0,17.53
8,5,6,6,1,2,0,0,0,0,13.93
8,5,6,6,3,4,0,0,0,0,11.44
8,5,6,6,6,5,0,0,0,0,16.52
8,5,6,6,6,5,2,1,1,0,26.53
8,5,6,6,6,5,3,3,2,0,29.48
8,5,6,6,6,5,3,4,5,0,25.5
8,5,6,6,6,5,5,6,5,0,40.47
4,1,2,2,2,1,1,2,1,0,31.16
4,1,2,2,2,2,3,3,1,0,26.05
4,3,3,3,2,2,3,3,1,0,28.32
4,3,3,3,2,2,3,3,5,0,30.45
4,3,3,3,2,4,4,4,5,0,30.11
4,3,4,4,4,4,4,4,5,0,32.99
4,5,6,4,4,4,4,4,5,0,36.8
4,5,6,4,4,4,5,6,6,0,31.8
6,7,6,4,4,4,5,6,6,0,33.98
6,7,6,5,5,6,5,6,6,0,36.9
6,7,6,6,8,6,5,6,6,0,33.37
6,7,6,6,8,6,7,7,7,0,26.71
2,3,2,2,4,2,3,3,3,0,23.07
2,3,3,5,4,2,3,3,3,0,24.62
2,3,3,5,4,2,3,5,5,0,17.78
4,4,4,5,4,2,3,5,5,0,26.02
4,4,4,5,4,5,4,5,5,0,34.36
6,6,4,5,4,5,4,5,5,0,30.63
6,6,4,6,6,6,4,5,5,0,25.65
6,6,7,7,6,6,4,5,5,0,36.8
6,6,7,7,6,6,6,6,6,0,40.41
6,6,7,7,7,8,7,6,6,0,36.83
6,6,7,7,7,8,7,7,9,0,-2.25
6,6,7,7,7,9,9,8,9,0,-3.25
2,2,3,3,3,5,5,4,5,0,26.96
2,2,3,4,6,5,5,4,5,0,24.98
6,2,3,4,6,5,5,4,5,0,19.38
6,5,4,4,6,5,5,4,5,0,39.33
6,6,6,5,6,5,5,4,5,0,39.46
8,8,6,5,6,5,5,4,5,0,39.22
11,9,6,5,6,5,5,4,5,0,35.76
11,9,8,7,6,5,5,4,5,0,38.26
11,9,8,7,6,5,6,6,6,0,39.09
11,9,8,7,6,7,7,7,6,0,34.6
7,5,4,3,2,3,3,3,2,0,26.19
7,5,4,3,4,5,3,3,2,0,24.25
7,5,4,3,4,5,4,4,4,0,32.09
7,5,5,5,5,5,4,4,4,0,39.32
3,1,1,1,1,1,0,0,0,0,30.58
3,1,1,1,1,2,2,1,0,0,30.61
3,1,1,1,1,2,2,2,3,0,33.17
4,4,1,1,1,2,2,2,3,0,32.85
4,4,1,1,1,2,2,4,5,0,25.48
4,4,3,2,2,2,2,4,5,0,30.03
4,4,4,4,3,2,2,4,5,0,29.08
5,6,5,4,3,2,2,4,5,0,20.65
5,6,5,4,4,4,3,4,5,0,22.07
5,6,5,4,4,5,5,5,5,0,38.55
5,6,5,5,6,6,5,5,5,0,38.77
5,6,5,5,6,6,7,6,6,0,36.16
5,6,7,7,6,6,7,6,6,0,35.82
7,8,7,7,6,6,7,6,6,0,38.5
3,4,3,3,2,2,3,2,2,0,30.75
6,5,3,3,2,2,3,2,2,0,31.69
6,5,3,3,4,4,3,2,2,0,33.1
6,5,4,5,5,4,3,2,2,0,33.32
6,5,4,5,5,4,3,4,4,0,31.27
6,5,4,5,5,4,5,5,5,0,39.47
2,1,0,1,1,0,1,1,1,0,31.95
2,1,0,1,1,0,3,2,2,0,26.68
2,1,2,2,2,0,3,2,2,0,21.88
2,1,2,4,4,0,3,2,2,0,-11.98
2,1,2,4,4,4,3,2,2,0,30
4,3,2,4,4,4,3,2,2,0,29.55
8,3,2,4,4,4,3,2,2,0,28.43
8,3,2,4,4,4,3,4,4,0,28.29
8,3,2,4,4,4,5,5,5,0,27.5
12,3,2,4,4,4,5,5,5,0,21.64
12,3,2,5,5,6,5,5,5,0,19.7
12,5,4,5,5,6,5,5,5,0,38.78
12,5,6,7,5,6,5,5,5,0,31.56
12,5,6,7,5,8,7,5,5,0,17.97
12,7,8,7,5,8,7,5,5,0,22.52
12,7,8,7,5,10,9,5,5,0,7.01
12,7,8,7,5,10,9,7,7,0,6.53
12,9,10,7,5,10,9,7,7,0,-5.25
12,9,10,7,5,12,11,7,7,0,-99.13
12,9,10,8,8,12,11,7,7,0,-10.82
8,5,6,4,4,8,7,3,3,0,10.49
8,5,6,4,4,8,7,6,4,0,20.21
4,1,2,0,0,4,3,2,0,0,12.17
4,1,2,2,2,4,3,2,0,0,21.08
4,1,2,2,5,5,3,2,0,0,4.53
4,1,2,2,5,5,3,2,4,0,15.86
4,3,4,2,5,5,3,2,4,0,7.76
4,3,5,5,5,5,3,2,4,0,18.24
4,3,5,5,5,5,3,2,6,7,-12.17
4,3,5,5,7,7,3,2,6,7,-22.14
8,3,5,5,7,7,3,2,6,7,-31.21
8,3,5,5,7,7,4,5,6,7,-22.7
5,5,7,5,4,4,0,1,4,1,17.23
8,6,7,5,4,4,0,1,4,1,8.55
7,5,6,4,3,3,2,1,3,0,27.46
7,7,8,4,3,3,2,1,3,0,23.7
10,8,8,4,3,3,2,1,3,0,21.97
10,8,8,4,3,3,4,3,3,0,27.23
10,8,8,4,3,3,4,5,5,0,27.42
11,11,8,4,3,3,4,5,5,0,23.98
11,11,8,4,3,6,5,5,5,0,22.74
11,11,8,5,6,6,5,5,5,0,38.56
7,7,4,1,2,2,1,1,1,0,26.42
7,7,4,3,4,2,1,1,1,0,27.77
7,7,4,3,4,2,2,2,3,0,30.14
7,7,4,3,4,4,4,2,3,0,26.75
7,7,5,5,5,4,4,2,3,0,31.41
7,7,7,6,6,4,4,2,3,0,30.16
7,7,7,6,6,4,5,5,3,0,25.66
7,7,7,6,6,7,6,5,3,0,25.52
9,8,8,6,6,7,6,5,3,0,25.36
9,8,8,7,8,8,6,5,3,0,21.31
9,8,8,7,8,8,6,6,6,0,39.84
5,4,4,3,4,4,2,2,2,0,33.1
5,4,4,3,4,4,4,4,2,0,29.26
5,4,4,3,4,4,6,6,2,0,27.55
5,4,5,5,5,4,6,6,2,0,24.82
5,6,7,5,5,4,6,6,2,0,20.81
5,6,7,6,6,6,6,6,2,0,24.65
4,5,6,5,5,5,5,5,4,0,35.78
4,5,6,6,6,7,5,5,4,0,30.71
0,1,2,2,2,3,1,1,0,0,24.54
0,1,2,2,2,3,4,2,0,0,18.16
2,3,2,2,2,3,4,2,0,0,21.69
5,4,2,2,2,3,4,2,0,0,25.03
5,4,2,2,4,5,4,2,0,0,14.01
5,4,2,2,6,7,4,2,0,0,4.74
9,4,2,2,6,7,4,2,0,0,-11.59
8,3,1,1,5,6,3,1,2,0,4.1
8,7,1,1,5,6,3,1,2,0,-2.1
8,7,3,3,5,6,3,1,2,0,10.75
8,7,3,3,5,6,3,3,4,0,18.36
8,7,3,3,5,6,4,5,5,0,17.63
8,7,4,6,5,6,4,5,5,0,20.19
