col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
0,1,2,2,2,3,4,2,0,0,18.86
2,3,2,2,2,3,4,2,0,0,21.7
5,4,2,2,2,3,4,2,0,0,24.4
5,4,2,2,4,5,4,2,0,0,13.37
5,4,2,2,6,7,4,2,0,0,4.16
9,4,2,2,6,7,4,2,0,0,-13.54
8,3,1,1,5,6,3,1,2,0,2.75
8,7,1,1,5,6,3,1,2,0,-3.45
8,7,3,3,5,6,3,1,2,0,9.21
8,7,3,3,5,6,3,3,4,0,17.23
8,7,3,3,5,6,4,5,5,0,17.19
8,7,4,6,5,6,4,5,5,0,18.94
10,9,4,6,5,6,4,5,5,0,16.62
10,9,4,6,5,6,6,6,6,0,23.35
10,9,7,7,5,6,6,6,6,0,39.33
6,5,3,3,1,2,2,2,2,0,30.28
8,7,3,3,1,2,2,2,2,0,22.01
8,7,5,5,1,2,2,2,2,0,25.27
10,9,5,5,1,2,2,2,2,0,15.72
10,9,5,5,4,3,2,2,2,0,26.87
10,9,5,5,4,3,3,4,3,0,26.91
10,9,6,6,6,3,3,4,3,0,21.18
14,9,6,6,6,3,3,4,3,0,17.61
14,9,6,6,6,3,3,5,6,0,16.41
14,9,6,6,6,3,3,7,8,0,3.74
14,9,6,6,6,3,3,7,10,9,-45.52
14,9,6,6,6,6,4,7,10,9,-39.88
14,9,8,8,6,6,4,7,10,9,-39.69
11,11,10,11,7,7,4,6,6,6,-5.86
11,11,10,11,10,8,4,6,6,6,-1.55
10,10,9,10,9,7,6,6,5,0,33.3
10,10,9,10,9,7,7,7,7,0,34.85
10,10,9,10,9,8,9,8,7,0,28.17
6,6,5,6,5,4,5,4,3,0,20.23
6,6,5,6,5,4,5,5,6,0,38.18
6,6,5,6,7,6,5,5,6,0,38.53
6,6,8,7,7,6,5,5,6,0,36.85
8,8,8,7,7,6,5,5,6,0,40.36
8,8,8,7,7,6,6,7,7,0,40.67
8,8,8,7,7,7,8,8,7,0,40.05
10,9,9,7,7,7,8,8,7,0,41.98
11,11,10,7,7,7,8,8,7,0,40.34
11,11,10,8,8,9,8,8,7,0,37.32
11,11,10,8,8,10,10,9,7,0,19.45
11,11,10,8,8,10,11,12,7,0,15.29
11,11,10,9,11,10,11,12,7,0,14.63
12,12,12,9,11,10,11,12,7,0,8.53
10,10,10,7,9,8,9,10,7,0,12.03
10,10,10,10,10,8,9,10,7,0,19.88
10,10,10,10,10,10,11,10,7,0,25.63
13,11,10,10,10,10,11,10,7,0,30.85
13,11,10,10,11,13,11,10,7,0,19.97
13,11,10,10,11,13,12,13,7,0,12.25
11,9,8,8,9,11,10,11,7,0,23.09
7,5,4,4,5,7,6,7,3,0,14.82
7,5,6,6,5,7,6,7,3,0,10.36
7,7,8,6,5,7,6,7,3,0,11.57
9,9,8,6,5,7,6,7,3,0,10.45
9,9,8,6,5,7,8,9,3,0,2.84
9,9,8,6,5,7,8,9,7,0,27.75
5,5,4,2,1,3,4,5,3,0,20.28
5,5,4,2,4,4,4,5,3,0,12.67
5,5,4,5,5,4,4,5,3,0,27.09
5,5,4,5,5,4,4,6,6,0,37.02
5,5,4,5,6,6,5,6,6,0,38.08
1,1,0,1,2,2,1,2,2,0,32.15
3,3,0,1,2,2,1,2,2,0,28.8
3,3,3,2,2,2,1,2,2,0,33.48
3,3,3,2,3,3,3,2,2,0,33.27
3,3,4,4,4,3,3,2,2,0,32.17
3,3,4,4,4,3,4,5,2,0,19.91
3,3,4,4,4,3,4,5,6,0,31.2
3,3,4,4,5,5,5,5,6,0,30.09
6,4,4,4,5,5,5,5,6,0,40.38
6,4,5,6,6,5,5,5,6,0,37.54
2,0,1,2,2,1,1,1,2,0,31.15
3,3,1,2,2,1,1,1,2,0,31.37
7,3,1,2,2,1,1,1,2,0,27.83
7,3,1,2,2,3,2,2,2,0,25.75
7,3,4,3,2,3,2,2,2,0,25.71
7,3,4,3,2,3,4,3,3,0,23.84
7,3,4,3,2,3,4,5,5,0,19.48
7,3,4,3,2,3,4,6,8,0,-0.42
7,3,4,5,4,3,4,6,8,0,3.87
7,3,4,5,4,5,6,6,8,0,17.2
7,6,5,5,4,5,6,6,8,0,35.11
7,6,5,5,4,5,8,8,8,0,33.4
7,6,6,6,6,5,8,8,8,0,36.69
8,8,7,6,6,5,8,8,8,0,33.92
4,4,3,2,2,1,4,4,4,0,27.6
4,4,3,2,4,3,4,4,4,0,30.67
4,4,4,5,4,3,4,4,4,0,33.2
6,6,4,5,4,3,4,4,4,0,30.69
6,6,6,7,4,3,4,4,4,0,31.1
6,6,6,7,6,5,4,4,4,0,38.41
8,8,6,7,6,5,4,4,4,0,36.5
8,8,6,7,6,5,5,6,5,0,36.26
8,8,6,7,7,7,6,6,5,0,36.22
8,8,6,7,7,7,6,8,7,0,34.43
4,4,2,3,3,3,2,4,3,0,27.08
4,4,2,3,4,4,4,4,3,0,30.86
8,4,2,3,4,4,4,4,3,0,29.11
8,4,2,3,4,4,5,5,5,0,28.7
8,8,2,3,4,4,5,5,5,0,25.04
8,8,2,3,5,6,6,5,5,0,20.14
8,8,2,3,5,6,6,6,8,0,10.17
8,8,6,3,5,6,6,6,8,0,3.5
10,10,6,3,5,6,6,6,8,0,0.54
0,0,0,0,0,0,0,0,0,0,19.2
0,0,1,1,1,1,0,0,0,0,32.5
1,2,2,1,1,1,0,0,0,0,32.15
5,2,2,1,1,1,0,0,0,0,30.67
5,2,2,1,1,2,2,1,0,0,30.09
5,2,2,1,1,2,2,1,4,0,30.68
5,5,3,1,1,2,2,1,4,0,27.67
5,5,3,1,1,2,3,4,4,0,28.77
5,5,3,5,1,2,3,4,4,0,13.35
5,5,3,5,4,3,3,4,4,0,28.84
5,5,3,5,4,4,5,5,4,0,28.02
5,5,3,5,6,6,5,5,4,0,22.49
5,5,3,5,6,7,7,6,4,0,10.87
5,5,3,5,8,9,7,6,4,0,-4.09
5,5,3,5,11,10,7,6,4,0,-51.95
5,5,6,6,11,10,7,6,4,0,3.26
7,7,6,6,11,10,7,6,4,0,10.24
3,3,2,2,7,6,3,2,0,0,3.67
3,3,4,4,7,6,3,2,0,0,4.72
3,3,4,4,7,6,3,3,3,0,20.21
3,3,4,4,7,6,4,5,4,0,14.43
7,3,4,4,7,6,4,5,4,0,9.26
7,3,5,7,7,6,4,5,4,0,13.22
7,3,5,9,9,6,4,5,4,0,2.27
7,7,5,9,9,6,4,5,4,0,-0.16
7,7,5,9,9,6,4,5,7,7,-14.85
7,7,9,9,9,6,4,5,7,7,-1.63
7,7,9,9,9,10,4,5,7,7,-0.54
7,7,9,9,9,10,6,7,7,7,1.22
8,10,9,9,9,10,6,7,7,7,0.51
12,10,9,9,9,10,6,7,7,7,14.63
12,12,11,9,9,10,6,7,7,7,9.83
11,11,10,8,8,9,7,7,7,0,36.46
7,7,6,4,4,5,3,3,3,0,27.6
7,7,6,6,6,5,3,3,3,0,28.55
7,7,6,6,6,5,4,5,4,0,30.71
7,7,7,7,8,5,4,5,4,0,25.94
7,7,7,7,8,7,6,5,4,0,30.5
9,9,7,7,8,7,6,5,4,0,29.23
9,9,7,7,8,7,6,7,6,0,31.02
5,5,3,3,4,3,2,3,2,0,22.88
5,5,3,3,4,5,4,3,2,0,25.51
5,5,3,5,6,5,4,3,2,0,16.91
5,5,7,5,6,5,4,3,2,0,19.51
7,7,7,5,6,5,4,3,2,0,19.95
7,7,7,5,6,5,4,3,6,0,20.71
7,7,7,5,6,5,6,5,6,0,29.75
9,9,7,5,6,5,6,5,6,0,24.27
10,10,9,9,8,5,6,5,6,0,26.5
10,10,9,11,10,5,6,5,6,0,20.28
6,6,5,7,6,1,2,1,2,0,11.97
6,6,5,7,6,1,3,3,3,0,7.67
6,6,5,7,6,5,3,3,3,0,21.95
9,8,8,7,6,5,5,6,6,0,41.51
9,8,8,7,6,5,5,7,9,0,32.88
9,8,8,7,6,8,6,7,9,0,31.04
9,8,8,8,9,8,6,7,9,0,34.16
9,8,8,8,9,8,8,9,9,0,40.67
9,9,9,10,9,8,8,9,9,0,40.72
10,11,10,10,9,8,8,9,9,0,38.99
10,11,10,10,9,10,10,9,9,0,38.36
10,11,10,11,11,11,10,9,9,0,36.5
10,11,10,11,11,11,12,11,9,0,23.53
13,12,10,11,11,11,12,11,9,0,38.02
13,12,12,12,12,11,12,11,9,0,36.96
13,14,14,12,12,11,12,11,9,0,28.52
13,14,14,12,12,11,12,12,12,0,22.58
13,14,14,12,12,13,14,12,12,0,11.88
9,10,10,8,8,9,10,8,8,0,37.41
9,10,10,8,8,9,10,9,11,0,27.24
11,11,11,8,8,9,10,9,11,0,28.52
11,11,11,8,8,9,10,12,12,0,16.32
11,11,11,9,10,10,10,12,12,0,19.26
13,13,11,9,10,10,10,12,12,0,19.83
13,13,11,11,12,10,10,12,12,0,18.44
13,13,11,11,12,12,12,12,12,0,27
13,13,12,14,12,12,12,12,12,0,10.39
9,9,8,10,8,8,8,8,8,0,29.68
9,11,10,10,8,8,8,8,8,0,25.32
9,11,10,10,9,10,9,8,8,0,31.09
5,7,6,6,5,6,5,4,4,0,29.99
5,7,6,6,5,6,5,7,5,0,14.8
5,7,6,6,5,8,7,7,5,0,14.5
5,7,6,6,5,9,9,8,5,0,0.9
5,7,6,7,8,9,9,8,5,0,8.1
5,7,6,7,8,9,11,10,5,0,-9.34
8,8,6,7,8,9,11,10,5,0,4.64
8,8,6,7,8,12,12,10,5,0,-8.58
8,8,9,8,8,12,12,10,5,0,2.33
8,8,10,10,9,12,12,10,5,0,0.16
8,8,11,11,11,12,12,10,5,0,0.95
8,8,12,13,12,12,12,10,5,0,-10.62
6,6,10,11,10,10,10,8,5,0,1.91
6,13,11,11,12,11,11,8,8,8,-126.87
6,13,11,11,12,11,11,9,10,9,-89.76
6,13,11,11,12,11,12,12,10,9,-124.15
6,13,11,11,12,13,14,12,10,9,-171.25
8,11,9,9,10,11,12,10,8,0,-0.18
8,11,9,9,13,12,12,10,8,0,-21.1
8,11,11,11,13,12,12,10,8,0,-9.99
6,9,9,9,11,10,10,8,7,7,-22.43
6,9,9,9,11,10,10,9,9,8,-45.34
6,9,9,9,11,10,11,11,10,8,-58.15
6,9,11,11,11,10,11,11,10,8,-63.33
6,9,11,11,12,12,12,11,10,8,-69.51
6,7,8,10,11,9,9,8,8,8,-11.83
6,7,11,11,11,9,9,8,8,8,-11.32
6,7,11,11,11,12,10,8,8,8,-18.59
7,6,9,9,9,10,8,6,6,0,28.33
7,6,9,9,9,10,8,8,8,0,32
9,8,9,9,9,10,8,8,8,0,40.28
5,4,5,5,5,6,4,4,4,0,38.96
6,6,6,5,5,6,4,4,4,0,38.66
6,6,6,7,7,6,4,4,4,0,35.89
6,6,6,7,7,7,7,4,4,0,33.08
6,6,6,7,7,7,7,6,6,0,39.05
6,7,8,8,7,7,7,6,6,0,36.36
6,7,8,8,9,8,8,6,6,0,32.82
2,3,4,4,5,4,4,2,2,0,26.17
2,3,5,6,6,4,4,2,2,0,15.96
2,3,5,6,6,4,4,4,4,0,17.63
4,5,5,6,6,4,4,4,4,0,31.88
4,5,5,6,6,6,6,4,4,0,32.86
7,6,5,6,6,6,6,4,4,0,38.74
7,6,7,8,6,6,6,4,4,0,34.62
7,6,7,8,8,7,7,4,4,0,35.88
8,8,8,8,8,7,7,4,4,0,33.55
8,8,8,8,8,7,7,7,5,0,32.05
8,8,8,8,10,9,7,7,5,0,15.75
4,4,4,4,6,5,3,3,1,0,8.76
6,5,5,4,6,5,3,3,1,0,13.21
6,5,5,4,6,5,5,5,1,0,18.7
6,5,7,6,6,5,5,5,1,0,18.26
6,8,8,6,6,5,5,5,1,0,7.62
6,8,8,6,6,5,5,5,5,0,29.96
6,8,8,6,6,6,6,7,5,0,16.93
6,8,8,6,7,8,7,7,5,0,21.17
2,4,4,2,3,4,3,3,1,0,14.65
2,4,4,5,4,4,3,3,1,0,12.59
2,4,4,6,6,5,3,3,1,0,-7.57
2,4,4,6,6,5,3,4,4,0,9.13
2,6,6,6,6,5,3,4,4,0,-6.77
2,6,6,6,6,5,5,6,4,0,-11.16
2,6,7,8,7,5,5,6,4,0,-21.58
2,6,7,8,7,6,8,6,4,0,-27.92
2,6,7,8,7,6,8,6,6,6,-46.03
2,6,7,8,7,9,9,6,6,6,-54.34
2,6,7,9,10,9,9,6,6,6,-62.79
2,6,7,9,10,9,9,9,7,6,-71.52
4,4,5,7,8,7,7,7,5,0,21.86
4,4,5,7,8,8,9,8,5,0,12.32
6,6,5,7,8,8,9,8,5,0,19.52
9,7,5,7,8,8,9,8,5,0,13.18
5,3,1,3,4,4,5,4,1,0,5.27
5,3,4,4,4,4,5,4,1,0,16.07
5,3,4,4,5,6,6,4,1,0,9.09
5,6,5,4,5,6,6,4,1,0,5.74
4,5,4,3,4,5,5,3,3,0,27.78
4,5,4,3,4,5,5,5,5,0,28.3
4,5,4,3,4,5,6,6,7,0,17.58
4,5,4,3,4,5,7,9,7,0,4.9
4,5,5,5,5,5,7,9,7,0,18.56
4,5,5,5,7,7,7,9,7,0,17.38
6,6,6,5,7,7,7,9,7,0,24.46
